Title,Authors
Recruitment and ontogenetic habitat shifts of the yellow snapper (Lutjanus argentiventris) in the Gulf of California,"Aburto-Oropeza, Octavio;Dominguez-Guerrero, Isaí;Cota-Nieto, José;Plomozo-Lugo, Tomás"
POPULATION CHARACTERISTICS OF SPOTTED ROSE SNAPPER Lutjanus guttatus CAUGHT AS SHRIMP BYCATCH IN THE GULF OF CALIFORNIA/CARACTERÍSTICAS POBLACIONALES DEL PARGO LUNAREJO Lutjanus guttatus CAPTURADO CON LA FAUNA DE ACOMPAÑAMIENTO DEL CAMARÓN EN EL GOLFO DE CALIFORNIA,"González-Ochoa, Oscar A;López-Martínez, Juana;Hernández-Saavedra, Norma Yolanda"
"Validation of yellowedge grouper, Epinephelus flavolimbatus, age using nuclear bomb-produced radiocarbon","Cook, Melissa;Fitzhugh, Gary R;Franks, James S"
"A NEW SPECIES OF CARDICOLA SHORT, 1953 (DIGENEA: APOROCOTYLIDAE) FROM THE HEART AND BRANCHIAL VESSELS OF TWO SURFPERCHES (PERCIFORMES: EMBIOTOCIDAE) IN THE EASTERN PACIFIC OCEAN OFF CALIFORNIA","Bullard, Stephen A"
Differential movement patterns and site fidelity among trophic groups of reef fishes in a Hawaiian marine protected area,"Meyer, Carl G;Papastamatiou, Yannis P;Clark, Timothy B"
"Age, growth and reproduction of the humpback red snapper Lutjanus gibbus off Ishigaki Island, Okinawa","Nanami, Atsushi;Kurihara, Takeo;Kurita, Yutaka;Aonuma, Yoshimasa;Suzuki, Nobuaki;Yamada, Hideaki"
Red Snapper Reproductive Biology in the Southern Gulf of Mexico,"Brule, Thierry;Colas-Marrufo, Teresa;Perez-Diaz, Esperanza;Samano-Zapata, Juan Carlos"
An Overview of Marine Biodiversity in United States Waters,"Fautin, Daphne;Dalton, Penelope;Incze, Lewis S;Leong, Jo-Ann C;Pautzke, Clarence;Rosenberg, Andrew;Sandifer, Paul;Sedberry, George;Tunnell, John W;Abbott, Isabella;Brainard, Russell E;Brodeur, Melissa;Eldredge, Lucius G;Feldman, Michael;Moretzsohn, Fabio;Vroom, Peter S;Wainstein, Michelle;Wolff, Nicholas"
Identifying Fishes through DNA Barcodes and Microarrays,"Kochzius, Marc;Seidel, Christian;Antoniou, Aglaia;Botla, Sandeep Kumar;Campo, Daniel;Cariani, Alessia;Vazquez, Eva Garcia;Hauschild, Janet;Hervet, Caroline;Hjörleifsdottir, Sigridur;Hreggvidsson, Gudmundur;Kappel, Kristina;Landi, Monica;Magoulas, Antonios;Marteinsson, Viggo;Nölte, Manfred;Planes, Serge;Tinti, Fausto;Turan, Cemal;Venugopal, Moleyur N;Weber, Hannes;Blohm, Dietmar"
Elucidating the trophodynamics of four coral reef fishes of the Solomon Islands using [delta]15N and [delta]13C,"Greenwood, N D; W;Sweeting, C J;Polunin, N V; C"
"Brevetoxins in sharks and rays (Chondrichthyes, Elasmobranchii) from Florida coastal waters","Flewelling, Leanne J;Adams, Douglas H;Naar, Jerome P;Atwood, Karen E;Granholm, April A;O'Dea, Sheila N;Landsberg, Jan H"
Sulfur isotopes in otoliths allow discrimination of anadromous and non-anadromous ecotypes of sockeye salmon (Oncorhynchus nerka),"Godbout, Lyse;Trudel, Marc;Irvine, James R;Wood, Chris C;Grove, Marty J;Schmitt, Axel K;Mckeegan, Kevin D"
"The effect of coring and pulverizing juvenile red snapper, Lutjanus campechanus, otoliths on their chemical signatures","Barnett, Beverly K;Patterson, William F"
Sea snakes anticipate tropical cyclone,"Liu, Y-L;Lillywhite, H B;Tu, M-C"
Marine Biodiversity in the Atlantic and Pacific Coasts of South America: Knowledge and Gaps,"Miloslavich, Patricia;Klein, Eduardo;Díaz, Juan M;Hernández, Cristián E;Bigatti, Gregorio;Campos, Lucia;Artigas, Felipe;Castillo, Julio;Penchaszadeh, Pablo E;Neill, Paula E;Carranza, Alvar;Retana, María V;Astarloa, M Díazde;Lewis, Mirtha;Yorio, Pablo;Piriz, María L;Rodríguez, Diego;Yoneshigue-Valentin, Yocie;Gamboa, Luiz;Martín, Alberto"
"Concurrent Exposure of Bottlenose Dolphins (Tursiops truncatus) to Multiple Algal Toxins in Sarasota Bay, Florida, USA","Twiner, Michael J;Fire, Spencer;Schwacke, Lori;Davidson, Leigh;Wang, Zhihong;Morton, Steve;Roth, Stephen;Balmer, Brian;Rowles, Teresa K;Wells, Randall S"
Horizontal movements of Atlantic blue marlin (Makaira nigricans) in the Gulf of Mexico,"Kraus, Richard T;Wells, R J David;Rooker, Jay R"
Geographic structure in Alaskan Pacific ocean perch (Sebastes alutus) indicates limited lifetime dispersal,"Palof, Katie J;Heifetz, Jonathan;Gharrett, Anthony J"
Juvenile coral reef fish use sound to locate habitats,"Radford, C A;Stanley, J A;Simpson, S D;Jeffs, A G"
Clarifying the taxonomic status of Merluccius spp. in the northeastern Pacific: a combined morphological and molecular approach,"Silva-segundo, Claudia A;Brito-chavarria, Mariela;Balart, Eduardo F;de los A Barriga-Sosa, Irene;Rojas-esquivel, Roberto;Roldán, María Inés;Murugan, Gopal;García-de León, Francisco J"
A review of the use of copepods in marine fish larviculture,"Ajiboye, O O;Yakubu, A F;Adams, T E;Olaji, E D;Nwogu, N A"
Red snapper management in the Gulf of Mexico: science- or faith-based?,"Cowan, J H;Grimes, C B;Patterson, W F;Walters, C J;Jones, A C;Lindberg, W J;Sheehy, D J;Pine, W E;Powers, J E;Campbell, M D;Lindeman, K C;Diamond, S L;Hilborn, R;Gibson, H T;Rose, K A"
"Making habitat selection more ""familiar"": a review","Piper, Walter H"
Fish Community and Trophic Structure at Artificial Reef Sites in the Northeastern Gulf of Mexico,"Dance, Michael A;Patterson, William F, III;Addis, Dustin T"
"Multidecadal otolith growth histories for red and gray snapper (Lutjanus spp.) in the northern Gulf of Mexico, USA","Black, Bryan A;Allman, Robert J;Schroeder, Isaac D;Schirripa, Michael J"
Discrimination of Juvenile Red Snapper Otolith Chemical Signatures from Gulf of Mexico Nursery Regions,"Sluis, Michelle Zapp;Barnett, Beverly K;Patterson, William F;Cowan, James H;Shiller, Alan M"
Proximity Effects of Larger Resident Fishes on Recruitment of Age-0 Red Snapper in the Northern Gulf of Mexico,"Mudrak, Peter A;Szedlmayer, Stephen T"
Progress and problems in U.S. marine fisheries rebuilding plans,"Milazzo, Matteo J"
Distribution and Habitat Associations of Billfish and Swordfish Larvae across Mesoscale Features in the Gulf of Mexico,"Rooker, Jay R;Simms, Jeff R;Wells, R JDavid;Holt, Scott A;Holt, G Joan;Graves, John E;Furey, Nathan B"
Applying Fish Behavior to Reduce Trawl Bycatch: Evaluation of the Nested Cylinder Bycatch Reduction Device,"Parsons, Glenn R;Foster, Daniel G;Osmond, Mike"
"SpeciesMap: a web-based application for visualizing the overlap of distributions and pollution events, with a list of fishes put at risk by the 2010 Gulf of Mexico oil spill","Chakrabarty, Prosanta;Lam, Calvin;Hardman, Jori;Aaronson, Jacob;House, Parker H;Janies, Daniel A"
Spatial Heterogeneity in Fishing Creates de facto Refugia for Endangered Celtic Sea Elasmobranchs,"Shephard, Samuel;Gerritsen, Hans;Kaiser, Michel J;Reid, David G"
Stable isotope analysis reveals community-level variation in fish trophodynamics across a fringing coral reef,"Wyatt, A S; J;Waite, A M;Humphries, S"
Characterization of Atlantic Cod Spawning Habitat and Behavior in Icelandic Coastal Waters,"Grabowski, Timothy B;Boswell, Kevin M;McAdam, Bruce J;Wells, R JDavid;Marteinsdóttir, Gudrún"
Influences of Artificial Reefs on Juvenile Red Snapper along the Mississippi Gulf Coast,"Brandt, Jason R;Jackson, Donald C"
Small Spatial Scale Variation in Fish Assemblage Structure in the Vicinity of the Northwestern Gulf of Mexico Hypoxic Zone,"Craig, J Kevin;Bosman, Samantha H"
Recent Geological Events and Intrinsic Behavior Influence the Population Genetic Structure of the Chiru and Tibetan Gazelle on the Tibetan Plateau,"Zhang, Fangfang;Jiang, Zhigang;Xu, Aichun;Zeng, Yan;Li, Chunwang"
"Interspecific differences in prey items in relation to morphological characteristics among four lutjanid species (Lutjanus decussatus, L. fulviflamma, L. fulvus and L. gibbus)","Nanami, Atsushi;Shimose, Tamaki"
Stable isotope analysis indicates a lack of inter- and intra-specific dietary redundancy among ecologically important coral reef fishes,"Plass-johnson, J G;Mcquaid, C D;Hill, J M"
Statistical analysis on otolith data of anadromous fishes,"Gao, Yongwen;Conrad, Robert;Bean, David;Noakes, David L; G"
Modelling the effects of density-dependent mortality in juvenile red snapper caught as bycatch in Gulf of Mexico shrimp fisheries: Implications for management,"Forrest, R E;McAllister, M K;Martell, SJD;Walters, C J"
Stable isotope variation in the northern Gulf of Mexico constrains bottlenose dolphin (Tursiops truncatus) foraging ranges,"Wilson, R M;Nelson, J A;Balmer, B C;Nowacek, D P;Chanton, J P"
Spatial Distribution and Conservation of Speckled Hind and Warsaw Grouper in the Atlantic Ocean off the Southeastern U.S.,"Farmer, Nicholas A;Karnauskas, Mandy"
Exploring Patterns of Seafood Provision Revealed in the Global Ocean Health Index,"Kleisner, Kristin M;Longo, Catherine;Coll, Marta;Halpern, Ben S;Hardy, Darren;Katona, Steven K;Le Manach, Frédéric;Pauly, Daniel;Rosenberg, Andrew A;Samhouri, Jameal F;Scarborough, Courtney;Rashid Sumaila, U;Watson, Reg;Zeller, Dirk"
"Identifying carbon sources and trophic position of coral reef fishes using diet and stable isotope ([delta]^sup 15^N and [delta]^sup 13^C) analyses in two contrasted bays in Moorea, French Polynesia","Letourneur, Y;Lison De Loma, T;Richard, P;Harmelin-vivien, M L;Cresson, P;Banaru, D;Fontaine, M-f;Gref, T;Planes, S"
Topography and biological noise determine acoustic detectability on coral reefs,"Cagua, E F;Berumen, M L;Tyler, E H; M"
"Limited genetic structure among broad-scale regions for two commercially harvested, tropical deep-water snappers in New Caledonia","Loeun, Kim L;Goldstien, Sharyn;Gleeson, Dianne;Nicol, Simon J;Bradshaw, Corey J; A"
Regional Correspondence in Habitat Occupancy by Gray Snapper (Lutjanus griseus) in Estuaries of the Southeastern United States,"Flaherty, Kerry E;Switzer, Theodore S;Winner, Brent L;Keenan, Sean F"
Estimation of Hook Selectivity of Red Snapper and Vermilion Snapper from Fishery-Independent Surveys of Natural Reefs in the Northern Gulf of Mexico,"Campbell, Matthew D;Pollack, Adam G;Driggers, William B;Hoffmayer, Eric R"
"Synopsis of the species of Kudoa Meglitsch, 1947 (Myxozoa: Myxosporea: Multivalvulida)","Eiras, Jorge Costa;Saraiva, Aurélia;Cruz, Cristina"
A review of detection range testing in aquatic passive acoustic telemetry studies,"Kessel, S T;Cooke, S J;Heupel, M R;Hussey, N E;et al"
"Habitat, movements and environmental preferences of dusky sharks, Carcharhinus obscurus, in the northern Gulf of Mexico","Hoffmayer, Eric R;Franks, James S;Driggers, William B;Mckinney, Jennifer A;Hendon, Jill M;Quattro, Joseph M"
Social Network Analysis of Price Dispersion in Fishing Quota Lease Markets,"Ropicki, Andrew J;Larkin, Sherry L"
2013 NAAFE Forum: Special Issue Introduction,"Seijo, Juan Carlos;Larkin, Sherry L;Adams, Charles M"
"Wide-spread genetic variability and the paradox of effective population size in the gag, Mycteroperca microlepis, along the West Florida Shelf","Jue, Nathaniel K;Coleman, Felicia C;Koenig, Christopher C"
Occupancy Models for Monitoring Marine Fish: A Bayesian Hierarchical Approach to Model Imperfect Detection with a Novel Gear Combination,"Coggins, Lewis G;Bacheler, Nathan M;Gwinn, Daniel C"
Utilizing Oral Histories to Understand the Social Networks of Oregon Fishermen in Alaska,"Package-Ward, Christina;Himes-Cornell, Amber"
Stable Isotopes in Fish Eye Lenses as Potential Recorders of Trophic and Geographic History,"Wallace, Amy A;Hollander, David J;Peebles, Ernst B"
The reproductive biology of the grey triggerfish Balistes capriscus (Pisces: Balistidae) in the Gulf of Gabès (south-eastern Mediterranean Sea),"Kacem, Hichem;Neifar, Lassâd"
"Age, growth, and reproductive biology of blacktail snapper, Lutjanus fulvus, around the Yaeyama Islands, Okinawa, Japan","Shimose, Tamaki;Nanami, Atsushi"
"Distribution, food preference, and trophic position of the corallivorous fireworm Hermodice carunculata in a Caribbean coral reef","Wolf, Alexander T;Nugues, Maggy M;Wild, Christian"
"Helminth Parasites of the Red Snapper, Lutjanus campechanus (Perciformes: Lutjanidae) from the Reef Santiaguillo, Veracruz, Mexico","Montoya-Mendoza, Jesús;Jiménez-Badillo, Lourdes;Salgado-Maldonado, Guillermo;Mendoza-Franco, Edgar F"
"Recreational fisheries in the USA: economics, management strategies, and ecological threats","Hughes, Robert M"
Taxonomy and systematics of larval Indo-Pacific fishes: a review of progress since 1981,"Leis, Jeffrey M"
Fighting Over a Red Herring: The Role of Economics in Recreational-Commercial Allocation Disputes,"Abbott, Joshua K"
Estimating the Dependence of Spawning Frequency on Size and Age in Gulf of Mexico Red Snapper,"Porch, CE;Fitzhugh, G R;Lang, E T;Lyon, H M;Linton, B C"
Application of Otolith Chemical Signatures to Estimate Population Connectivity of Red Snapper in the Western Gulf of Mexico,"Sluis, Michelle Zapp;Barnett, Beverly K;Patterson, William F, III;Cowan, James H, Jr;Shiller, Alan M"
"Habitat differences in the feeding ecology of red snapper (Lutjanus campechanus, Poey 1860): a comparison between artificial and natural reefs in the northern Gulf of Mexico","Simonsen, Kirsten A;Cowan, James H;Boswell, Kevin M"
"High Levels of Genetic Connectivity among Populations of Yellowtail Snapper, Ocyurus chrysurus (Lutjanidae - Perciformes), in the Western South Atlantic Revealed through Multilocus Analysis","Silva, Raimundo da;Veneza, Ivana;Sampaio, Iracilda;Araripe, Juliana;Schneider, Horacio;Gomes, Grazielle"
Strategic Assessment of Fisheries Independent Monitoring Programs in the Gulf of Mexico,"Suprenand, Paul Mark;Drexler, Michael;Jones, David L;Ainsworth, Cameron H"
Temporal Stability of Genetic Variability and Differentiation in the Three-Spined Stickleback (Gasterosteus aculeatus),"DeFaveri, Jacquelin;Merilä, Juha"
"From Shelf to Shelf: Assessing Historical and Contemporary Genetic Differentiation and Connectivity across the Gulf of Mexico in Gag, Mycteroperca microlepis","Jue, Nathaniel K;Brulé, Thierry;Coleman, Felicia C;Koenig, Christopher C"
Evidence of prey partition for the three sympatric Chromis species (Perciformes: Pomacentridae) based on ecomorphological analyses,"Song, Young Sun;Kim, Jin-koo"
Screening for petrochemical contamination in seafood by headspace solid-phase microextraction gas chromatography-mass spectrometry,"Bencsath, F Aladar;Benner, Ronald A, Jr;Abraham, Ann;Wang, Yuesong;El Said, Kathleen R;Jester, Edward L; E;Plakas, Steven M"
"Community Structure of Skin Microbiome of Gulf Killifish, Fundulus grandis, Is Driven by Seasonality and Not Exposure to Oiled Sediments in a Louisiana Salt Marsh","Larsen, Andrea M;Bullard, Stephen A;Womble, Matthew;Arias, Covadonga R"
"Short-Term Fidelity, Habitat Use and Vertical Movement Behavior of the Black Rockfish Sebastes schlegelii as Determined by Acoustic Telemetry","Zhang, Yingqiu;Xu, Qiang;Alós, Josep;Liu, Hui;Xu, Qinzeng;Yang, Hongsheng"
Fundulus grandis Otolith Microchemistry as a Metric of Estuarine Discrimination and Oil Exposure,"Nelson, T Reid;Devries, Dennis R;Wright, Russell A;Gagnon, Joel E"
Long-term patterns in estuarine fish growth across two climatically divergent regions,"Doubleday, Zoë A;Izzo, Christopher;Haddy, James A;Lyle, Jeremy M;Ye, Qifeng;Gillanders, Bronwyn M"
High-grading and over-quota discarding in mixed fisheries,"Batsleer, J;Hamon, K G;van Overzee, H M; J;Rijnsdorp, A D;Poos, J J"
Spatial and Dietary Overlap Creates Potential for Competition between Red Snapper (Lutjanus campechanus) and Vermilion snapper (Rhomboplites aurorubens),"Davis, William T;Drymon, J Marcus;Powers, Sean P"
"Mercury, selenium and fish oils in marine food webs and implications for human health","Gribble, Matthew O;Karimi, Roxanne;Feingold, Beth J;Nyland, Jennifer F;O'Hara, Todd M;Gladyshev, Michail I;Chen, Celia Y"
"VARIATION OF FEEDING HABITS OF LUTJANUS PERU (ACTINOPTERYGII: PERCIFORMES: LUTJANIDAE) CAUGHT IN TWO REGIONS OF THE GULF OF CALIFORNIA, MEXICO","Moreno-Sanchez, Xchel G;Abitia-Cardenas, Leonardo A;Trujillo-Retana, Gisela;Navia, Andrés F;Ramírez-Pérez, Jorge S;Shirasago-German, Bernardo"
"No loss of genetic diversity in the exploited and recently collapsed population of Bay of Biscay anchovy (Engraulis encrasicolus, L.)","Montes, Iratxe;Iriondo, Mikel;Manzano, Carmen;Santos, Maria;Conklin, Darrell;Carvalho, Gary R;Irigoien, Xabier;Estonba, Andone"
Patterns of Coral-Reef Finfish Species Disappearances Inferred from Fishers' Knowledge in Global Epicentre of Marine Shorefish Diversity,"Lavides, Margarita N;Molina, Erina PaulineV;Jr, de laRosa;Mill, Aileen C;Rushton, Stephen P;Stead, Selina M;Polunin, Nicholas VC"
On Making Statistical Inferences Regarding the Relationship between Spawners and Recruits and the Irresolute Case of Western Atlantic Bluefin Tuna (Thunnus thynnus),"Porch, Clay E;Lauretta, Matthew V"
"Ontogenetic and spatial variability in trophic biomarkers of juvenile saffron cod (Eleginus gracilis) from the Beaufort, Chukchi and Bering Seas","Copeman, Louise A;Laurel, Benjamin J;Boswell, Kevin M;Sremba, Angie L;Klinck, Karolin;Heintz, Ron A;Vollenweider, Johanna J;Helser, Thomas E;Spencer, Mara L"
Exploring effects of hypoxia on fish and fisheries in the northern Gulf of Mexico using a dynamic spatially explicit ecosystem model,"de Mutsert, Kim;Steenbeek, Jeroen;Lewis, Kristy;Buszowski, Joe;Cowan, James H, Jr;Christensen, Villy"
Tidal and Diel Patterns in Abundance and Feeding of a Marine-Estuarine-Dependent Fish from Macrotidal Mangrove Creeks in the Tropical Eastern Pacific (Colombia),"Ramirez-martínez, Gustavo A;Castellanos-galindo, Gustavo A;Krumme, Uwe"
Lack of Spatial Subdivision for the Snapper Lutjanus purpureus (Lutjanidae - Perciformes) from Southwest Atlantic Based on Multi-Locus Analyses,"Silva, Raimundo da;Sampaio, Iracilda;Schneider, Horacio;Gomes, Grazielle"
"Review of the life history characteristics, ecology and fisheries for deep-water tropical demersal fish in the Indo-Pacific region","Newman, Stephen J;Williams, Ashley J;Wakefield, Corey B;Nicol, Simon J;Taylor, Brett M;O'malley, Joseph M"
Stock assessment in inland fisheries: a foundation for sustainable use and conservation,"Lorenzen, K;Cowx, I G;Entsua-mensah, R E; M;Lester, N P;Koehn, J D;Randall, R G;So, N;Bonar, S A;Bunnell, D B;Venturelli, P;Bower, S D;Cooke, S J"
A designed artificial reef is among the most productive marine fish habitats: new metrics to address 'production versus attraction',"Smith, James A;Lowry, Michael B;Champion, Curtis;Suthers, Iain M"
Commodity Price Volatility under Regulatory Changes and Disaster,"Marvasti, Akbar;Lamberte, Antonio"
A bank divided: quantifying a spatial and temporal connectivity break between the Campeche Bank and the northeastern Gulf of Mexico,"Johnston, Matthew W;Bernard, Andrea M"
Seasonal and sex differences in energy reserves of red snapper Lutjanus campechanus on natural and artificial reefs in the northwestern Gulf of Mexico,"Schwartzkopf, Brittany D;Cowan, James H, Jr"
"An Updated Review of Ciguatera Fish Poisoning: Clinical, Epidemiological, Environmental, and Public Health Management","Friedman, Melissa A;Fernandez, Mercedes;Backer, Lorraine C;Dickey, Robert W;Bernstein, Jeffrey;Schrank, Kathleen;Kibler, Steven;Stephan, Wendy;Gribble, Matthew O;Bienfang, Paul;Bowen, Robert E;Degrasse, Stacey;Flores Quintana, Harold A;Loeffler, Christopher R;Weisman, Richard;Blythe, Donna;Berdalet, Elisa;Ayyar, Ram;Clarkson-Townsend, Danielle;Swajian, Karen;Benner, Ronald;Brewer, Tom;Fleming, Lora E"
