Include,Relevance,Index,Title,Authors,source,Title_lowercase,StudyType,Age_class,Start_time,End_time,Season,Driver,Response_type,EffectSize_d,Sampling_method,Location,Effect_type_original,Value_original,stuff for effect size conv,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,age of big reef,CPUE,,hook & line,"-88 W, 30N",Chi-square,"df = 1, X2 = 0.00, P=0.96",no significant effect of reef age,
Yes,,13,Effect of trawling on juvenile red snapper (Lutjanus campechanus) habitat selection and life history parameters,"Wells, R. J. David; Cowan, James H., Jr.; Patterson, William F., III; Walters, Carl J.",wb1,effect of trawling on juvenile red snapper (lutjanus campechanus) habitat selection and life history parameters,,,,,,,,,,,,,,
Yes,,94,Effects of habitat complexity and predator exclusion on the abundance of juvenile red snapper,"Piko, A. A.; Szedlmayer, S. T.",wb3,effects of habitat complexity and predator exclusion on the abundance of juvenile red snapper,,,,,,,,,,,,,,
Yes,,28,Estimates of shrimp trawl bycatch of red snapper (Lutjanus campechanus) in the Gulf of Mexico,"Gallaway, BJ; Longnecker, M; Cole, JG; Meyer, RM",wb1,estimates of shrimp trawl bycatch of red snapper (lutjanus campechanus) in the gulf of mexico,,,,,,,,,,,,,,
Yes,,101,Fine-Scale Movements and Home Ranges of Red Snapper around Artificial Reefs in the Northern Gulf of Mexico,"Piraino, Maria N.; Szedlmayer, Stephen T.",wb3,fine-scale movements and home ranges of red snapper around artificial reefs in the northern gulf of mexico,,,,,,,,,,,,,,
Yes,,91,Habitat preferences and site fidelity of juvenile red snapper (Lutjanus campechanus),"Workman, I; Shah, A; Foster, D; Hataway, B",wb3,habitat preferences and site fidelity of juvenile red snapper (lutjanus campechanus),,,,,,,,,,,,,,
Yes,,33,Habitat use and the effect of shrimp trawling on fish and invertebrate communities over the northern Gulf of Mexico continental shelf,"Wells, R. J. David; Cowan, James H., Jr.; Patterson, William F., III",wb1,habitat use and the effect of shrimp trawling on fish and invertebrate communities over the northern gulf of mexico continental shelf,,,,,,,,,,,,,,
Yes,,125,"Habitat Use by Juvenile Red Snapper in the Northern Gulf of Mexico: Ontogeny, Seasonality, and the Effects of Hypoxia","Switzer, Theodore S.; Chesney, Edward J.; Baltz, Donald M.",wb3,"habitat use by juvenile red snapper in the northern gulf of mexico: ontogeny, seasonality, and the effects of hypoxia",,,,,,,,,,,,,,
Yes,,121,"Influence of Age-1 Conspecifics, Sediment Type, Dissolved Oxygen, and the Deepwater Horizon Oil Spill on Recruitment of Age-0 Red Snapper in the Northeast Gulf of Mexico during 2010 and 2011","Szedlmayer, Stephen T.; Mudrak, Peter A.",wb3,"influence of age-1 conspecifics, sediment type, dissolved oxygen, and the deepwater horizon oil spill on recruitment of age-0 red snapper in the northeast gulf of mexico during 2010 and 2011",,,,,,,,,,,,,,
Yes,,9,Influence of reef location on artificial-reef fish assemblages in the northcentral Gulf of Mexico,"Strelcheck, AJ; Cowan, JH; Shah, A",wb1,influence of reef location on artificial-reef fish assemblages in the northcentral gulf of mexico,,,,,,,,,,,,,,
Yes,,38,Influences of Artificial Reefs on Juvenile Red Snapper along the Mississippi Gulf Coast,"Brandt, Jason R.; Jackson, Donald C.",wb1,influences of artificial reefs on juvenile red snapper along the mississippi gulf coast,,,,,,,,,,,,,,
Yes,,205,"Movement and growth of red snapper, Lutjanus campechanus, from an artificial reef area in the northeastern Gulf of Mexico","Szedlmayer, Stephen T.,Shipp, Robert L.",gs1,"movement and growth of red snapper, lutjanus campechanus, from an artificial reef area in the northeastern gulf of mexico",,,,,,,,,,,,,,
Yes,,77,"Nursery habitats, growth rates, and seasonality of age-0 red snapper, Lutjanus campechanus, in the northeast Gulf of Mexico","Szedlmayer, ST; Conti, J",wb3,"nursery habitats, growth rates, and seasonality of age-0 red snapper, lutjanus campechanus, in the northeast gulf of mexico",,,,,,,,,,,,,,
Yes,,103,Proximity Effects of Larger Resident Fishes on Recruitment of Age-0 Red Snapper in the Northern Gulf of Mexico,"Mudrak, Peter A.; Szedlmayer, Stephen T.",wb3,proximity effects of larger resident fishes on recruitment of age-0 red snapper in the northern gulf of mexico,,,,,,,,,,,,,,
Yes,,146,Reducing bycatch in the United States Gulf of Mexico shrimp trawl fishery with an emphasis on red snapper bycatch reduction,"Parsons, Glenn R.; Foster, Daniel G.",wb3,reducing bycatch in the united states gulf of mexico shrimp trawl fishery with an emphasis on red snapper bycatch reduction,,,,,,,,,,,,,,
Yes,,107,Regional differences in the age and growth of red snapper (Lutjanus campechanus) in the US Gulf of Mexico,"Saari, Courtney R.; Cowan, James H., Jr.; Boswell, Kevin M.",wb3,regional differences in the age and growth of red snapper (lutjanus campechanus) in the us gulf of mexico,,,,,,,,,,,,,,
Yes,,194,Seasonal and spatial variation in the abundance and size distribution of fishes associated with a petroleum platform in the northern Gulf of Mexico,"Stanley, David R.,Wilson, Charles A.",gs1,seasonal and spatial variation in the abundance and size distribution of fishes associated with a petroleum platform in the northern gulf of mexico,,,,,,,,,,,,,,
Yes,,24,Seasonal and spatial variation in the biomass and size frequency distribution of fish associated with oil and gas platforms in the northern Gulf of Mexico,"Stanley, DR; Wilson, CA",wb1,seasonal and spatial variation in the biomass and size frequency distribution of fish associated with oil and gas platforms in the northern gulf of mexico,,,,,,,,,,,,,,
Yes,,130,Spatial and Dietary Overlap Creates Potential for Competition between Red Snapper (Lutjanus campechanus) and Vermilion snapper (Rhomboplites aurorubens),"Davis, William T.; Drymon, J. Marcus; Powers, Sean P.",wb3,spatial and dietary overlap creates potential for competition between red snapper (lutjanus campechanus) and vermilion snapper (rhomboplites aurorubens),,,,,,,,,,,,,,
Yes,,97,The effects of epibenthic communities on reef fishes in the northern Gulf of Mexico,"Redman, R. A.; Szedlmayer, S. T.",wb3,the effects of epibenthic communities on reef fishes in the northern gulf of mexico,,,,,,,,,,,,,,
Yes,,81,The influence of habitat complexity on reef fish communities in the northeastern Gulf of Mexico,"Lingo, Mark E.; Szedlmayer, Stephen T.",wb3,the influence of habitat complexity on reef fish communities in the northeastern gulf of mexico,,,,,,,,,,,,,,
Yes,,51,The Potential for Unreported Artificial Reefs to Serve as Refuges from Fishing Mortality for Reef Fishes,"Addis, Dustin T.; Patterson, William F., III; Dance, Michael A.",wb1,the potential for unreported artificial reefs to serve as refuges from fishing mortality for reef fishes,,,,,,,,,,,,,,
Yes,,137,Using Fish Population Metrics to Compare the Effects of Artificial Reef Density,"Froehlich, Catheline Y. M.; Kline, Richard J.",wb3,using fish population metrics to compare the effects of artificial reef density,,,,,,,,,,,,,,
Yes,,102,"Video estimates of red snapper and associated fish assemblages on sand, shell, and natural reef habitats in the north-central Gulf of Mexico","Wells, R. J. David; Cowan, James H., Jr.",wb3,"video estimates of red snapper and associated fish assemblages on sand, shell, and natural reef habitats in the north-central gulf of mexico",,,,,,,,,,,,,,
