Title,Authors,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
Genetic impacts of shrimp trawling on red snapper (Lutjanus campechanus) in the northern Gulf of Mexico,"Saillant, Eric; Bradfield, S. Coleen; Gold, John R.",ICES Journal of Marine Science / Journal du Conseil,10543139,,May-06,63,4,705,9,20575213,10.1016/j.icesjms.2005.12.005,Oxford University Press / USA,Article,Phylogeography; RESEARCH; Salt water fishing; Shellfish Farming; Fish genetics; Shrimps; Lutjanus campechanus,genetic impacts; red snapper; shrimp bycatch,"Genetic variation and genetic relatedness are investigated among age-0 red snapper (Lutjanus campechanus) sampled as bycatch in shrimp trawls from five localities in the northern Gulf of Mexico. Reference samples from the same geographic areas were obtained by sampling a few juveniles at a time during multiple trawl tows. No significant differences in allelic richness, gene diversity, or allele (or genotype) distributions at 16 nuclear-encoded microsatellites were found between the five bycatch samples and reference samples taken from the same geographic area. These results indicate that red snappers taken as bycatch neither have reduced genetic variation relative to the local population nor do they appear to represent a non-random sample from the local population in terms of allele or genotype distributions. Estimates of the within-sample variance of pairwise relatedness did not differ significantly from zero for any bycatch or reference sample. Hence, red snapper in the bycatch samples are not more closely related genetically to one another than would be expected when sampling individuals at random from the local population. These results indicate that there are no direct, detectable genetic impacts of shrimp trawling on red snapper at the localities sampled.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=20575213&site=ehost-live
Genetic Variation and Relatedness of Juvenile Red Snapper Sampled from Shrimp Trawls in the Northern Gulf of Mexico.,"Saillant, Eric; Mousseau, Timothy A.; Gold, John R.",Transactions of the American Fisheries Society,28487,,Nov-03,132,6,1229,7,54470754,10.1577/T03-006,Taylor & Francis Ltd,Article,,,"We studied genetic variation and genetic relatedness among young-of-the-year (age-0) Gulf of Mexico red snapper sampled as bycatch in two separate shrimp trawl tows offshore of Galveston, Texas, and in a reference (control) group composed of multiple samples from within the same geographic area. Allelic and haplotypic variation was assayed at 11 microsatellite loci and mitochondrial DNA, respectively. Samples taken as bycatch from shrimp trawls did not differ from the reference group in allele richness, gene diversity, or allele frequency, indicating that most of the genetic variability within the cohort studied was attributable to fish sampled during single, localized tows of the shrimp trawler. Estimates of the variance of pairwise relatedness in the reference sample and in one of the bycatch samples were zero, whereas in the other bycatch sample the variance estimate was 0.001 ( P = 0.1). A positive variance suggests that this sample contained individuals that were more closely related genetically than would be expected by chance alone. Because the relatedness estimators are sensitive to sample size, the number of loci, and allele distributions, further studies employing larger sample sizes and additional loci are warranted.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=54470754&site=ehost-live
Groupers on the Edge: Shelf Edge Spawning Habitat in and Around Marine Reserves of the Northeastern Gulf of Mexico*.,"Coleman, Felicia C.; Scanlon, Kathryn M.; Koenig, Christopher C.",Professional Geographer,330124,,Nov-11,63,4,456,19,66825188,10.1080/00330124.2011.585076,Taylor & Francis Ltd,Article,"RED grouper; REEF fishes; SPAWNING; AQUATIC habitats; FISHERY management; MARINE parks & reserves; MEXICO, Gulf of; Finfish Farming and Fish Hatcheries; Nature Parks and Other Similar Institutions",,"The northeastern Gulf of Mexico contains some of the most diverse and productive marine habitat in the United States. Much of this habitat, located on the shelf edge in depths of 50 to 120 m, supports spawning for many economically important species, including groupers. Here, we couple acoustic surveys with georeferenced videography to describe the primary spatial and geologic features of spawning aggregation sites for four economically important species: gag (Mycteroperca microlepis), scamp (M. phenax), red grouper (Epinephelus morio), and red snapper (Lutjanus campechanus), with notes on fish distribution and abundance and spawning activities. We provide information on movement patterns of reef fish determined using acoustic telemetry. Finally, we discuss the possible coupling of geomorphology with hydrographic features to influence the overall productivity of the region and the importance of spatial fishery management in sustaining that productivity.",http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=66825188&site=ehost-live
Historical population demography of red snapper ( Lutjanus campechanus) from the northern Gulf of Mexico based on analysis of sequences of mitochondrial DNA.,"Pruett, Christin L.; Saillant, Eric; Gold, John R.",Marine Biology,253162,,Jul-05,147,3,593,10,17551238,10.1007/s00227-005-1615-8,Springer Science & Business Media B.V.,Article,Habitat (Ecology); Earth sciences; Hydrography; Research and Development in the Social Sciences and Humanities; DNA; Social sciences; Social status,,"We evaluated stock structure and demographic (population) history of red snapper ( Lutjanus campechanus) in the northern Gulf of Mexico (Gulf) via analysis of mitochondrial (mt)DNA sequences from 360 individuals sampled from four cohorts (year classes) at three localities across the northern Gulf. Exact tests of genetic homogeneity and analysis of molecular variance both among cohorts within localities and among localities were non-significant. Nested clade analysis provided evidence of different temporal episodes of both range expansion and restricted gene flow due to isolation by distance. A mismatch distribution of pairwise differences among mtDNA haplotypes and a maximum-likelihood coalescence analysis indicated a population expansion phase that dated to the Pleistocene and probably represents (re)colonization of the continental shelf following glacial retreat. The spatial distribution of red snapper in the northern Gulf appears to have a complex history that likely reflects glacial advance/retreat, habitat availability and suitability, and hydrology. Habitat availability/suitability and hydrology may partially restrict gene flow among present-day red snapper in the northern Gulf and give rise to a metapopulation structure with variable demographic connectivity. This type of population structure may be difficult to detect with commonly used, selectively neutral genetic markers.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=17551238&site=ehost-live
Living with the Curse of Dimensionality: Closed-Loop Optimization in a Large-Scale Fisheries Simulation Model.,"Woodward, Richard T.; Wui, Yong-Suhk; Griffin, Wade L.",American Journal of Agricultural Economics,29092,,Feb-05,87,1,48,13,15722862,10.1111/j.0002-9092.2005.00701.x,Oxford University Press / USA,Article,"Fisheries; Mathematical optimization; Simulation methods & models; Operations research; Mexico, Gulf of; Finfish Farming and Fish Hatcheries; Process, Physical Distribution, and Logistics Consulting Services; Lutjanus campechanus",dynamic optimization; fisheries; numerical methods; simulation modeling,"Facilitated by remarkable increases in computational speed, simulation models are becoming more and more complex and are being increasingly used in applied economic analysis. However, computational limitations remain a major barrier to the study of dynamically optimal policies. We study the problem of carrying out dynamic optimization in conjunction with large simulation models and propose a method for working around the computational difficulties that arise in such problems. Our methods are applied to a model of the Gulf of Mexico's red snapper fishery to study the dynamically optimal total allowable catch.",http://search.ebscohost.com/login.aspx?direct=true&db=bth&AN=15722862&site=ehost-live
Modeling the spatial distribution of commercially important reef fishes on the West Florida Shelf.,"Saul, S.E.; Walter, J.F.; Die, D.J.; Naar, D.F.; Donahue, B.T.",Fisheries Research,1657836,,Jun-13,143,,12,9,89216104,10.1016/j.fishres.2013.01.002,Elsevier Science,Article,Reef fishes; Fisheries; Fish communities; Red grouper; West Florida; Finfish Farming and Fish Hatcheries; Marketing Research and Public Opinion Polling; Sampling (Statistics),CPUE; Grouper; Snapper; Spatial autocorrelation; Variogram,"Abstract: Understanding the spatial distribution of a species is an important precondition to successfully managing marine populations. For reef fishes, this is of particular importance due to the patchy nature of reef communities. This study estimated the spatial distribution of five reef fish species on the West Florida Shelf: gag grouper (Mycteroperca microlepis), mutton snapper (Lutjanus analis), red grouper (Epinephelus morio), red snapper (Lutjanus campechanus), and vermilion snapper (Rhomboplites aurorubens). Estimation was done by combining large-scale fishery-dependent catch per unit of fishing effort with small scale fishery-independent video survey observation. Catch per unit of fishing effort was obtained from vessel logbook data while video observations of reef fish presence–absence and relative abundance were made by stratified random sampling on known reef and hard-bottom habitat in the Gulf of Mexico. Relative abundance estimates showed different abundance patterns for the five species depending on depth and geographical area. Variogram modeling suggested that gag grouper, mutton snapper, and red grouper were spatially autocorrelated on reef or hard-bottom habitats at short ranges of between 0.87 and 0.95km, while red and vermilion snapper were found to be randomly distributed. Range estimates for gag grouper, mutton snapper and red grouper were supported by variograms of depth soundings in the Gulf which produced range estimates of between 1.56 and 6.34km. Combining the relative estimates of abundance from catch per unit of effort with the spatial autocorrelation parameters from video surveys allowed us to provide stochastic fish abundance estimates at scales of about 2km2.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=89216104&site=ehost-live
Physiological Effects of Swim Bladder Overexpansion and Catastrophic Decompression on Red Snapper.,"Rummer, Jodie L.; Bennett, Wayne A.",Transactions of the American Fisheries Society,28487,,Nov-05,134,6,1457,14,54471073,10.1577/T04-235.1,Taylor & Francis Ltd,Article,,,"The commercial and recreational harvests of red snapper in the Gulf of Mexico have declined over the past five decades, prompting strict regulations. Release mortality associated with catastrophic decompression (CD) is a possible cause for the continuing decline, although to date no physiological data exist to support this assumption. Using a flow-through high-pressure chamber, subadult red snapper were acclimated to 101.2, 405.3, 608.0, and 1,215.9 kPa, simulating depths typical of their distribution (as deep as 200 m), and then decompressed at a rate of 10.1 kPa/s. Lateral and dorsal X-ray imaging in combination with necropsy showed that swim bladders expanded in a predictable manner. Ventral expansion into the caudal body cavity space occurred at lower pressures, whereas expansion into the cranial portion of the body cavity occurred at the highest pressure. Expansion patterns resulted in over 70 different overexpansion injuries, the most severe being to vital organs. Our results suggest a specific suite of clearly identifiable injuries associated with CD that increase in number and severity as retrieval depth increases. A more thorough understanding of catastrophic decompression syndrome will provide insight into the declining fishery and aid in developing effective physiology-based management strategies.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=54471073&site=ehost-live
Red snapper (Lutjanus campechanus) demographic structure in the northern Gulf of Mexico band on spatial patterns in growth rates and morphometrics.,"Fischer, Andrew J.; Baker Jr., M. Scott; Wilson, Charles A.",Fishery Bulletin,900656,,Oct-04,102,4,593,11,15869595,,National Oceanic & Atmospheric Administration,Article,Lutjanus; Fishes; Aquatic animals; United States; Lutjanus campechanus,,"Red snapper (Lutjanus campechanus) in the United States waters of the Gulf of Mexico (GOM) has been considered a single unit stock since management of the species began in 1991. The validity of this assumption is essential to management decisions because measures of growth can differ for nonmixing populations. We examined growth rates, size-at-age, and length and weight information of red snapper collected from the recreational harvests of Alabama (n=2010), Louisiana (n=1905), and Texas (n=1277) from 1999 to 2001. Ages were obtained from 5035 otolith sections and ranged from one to 45 years. Fork length, total weight, and age-frequency distributions differed significantly among all states; Texas, however, had a much higher proportion of smaller, younger fish. All red snapper showed rapid growth until about age 10 years, after which growth slowed considerably. Von Bertalanffy growth models of both mean fork length and mean total weight-at-age predicted significantly smaller fish at age from Texas, whereas no differences were found between Alabama and Louisiana models. Texas red snapper were also shown to differ significantly from both Alabama and Louisiana red snapper in regressions of mean weight at age. Demographic variation in growth rates may indicate the existence of separate management units of red snapper in the GOM. Our data indicate that the red snapper inhabiting the waters off Texas are reaching smaller maximum sizes at a faster rate and have a consistently smaller total weight at age than those collected from Louisiana and Alabama waters. Whether these differences are environmentally induced or are the result of genetic divergence remains to be determined, but they should be considered for future management regulations.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=15869595&site=ehost-live
Red Snapper Larval Transport in the Northern Gulf of Mexico.,"Johnson, Donald R.; Perry, Harriet M.; Lyczkowski-Shultz, Joanne; Hanisko, David",Transactions of the American Fisheries Society,28487,,May-09,138,3,458,13,54471917,10.1577/T08-008.1,Taylor & Francis Ltd,Article,,,"This study examines the advection of red snapper larvae in the northern Gulf of Mexico. The potential for repopulating the eastern Gulf stock through larval transport from the more populous western stock is addressed. Transport pathways across topographic features that inhibit alongshelf flow (e.g., the Mississippi River delta, DeSoto Canyon, and the Apalachicola peninsula) and interregional larval transport are considered. An advective field of currents is developed from a large database of drifter and moored currents, augmented by an operational model to fill gaps. The starting points for larval transport are the locations and day of the year of larval captures from the Southeast Area Monitoring and Assessment Program ichthyoplankton surveys. Because the field of currents is derived from near-surface observations and the depth distribution of larvae is uncertain, findings are expressed in terms of maximal transport pathways. Transport pathways were principally vectored toward the west during September, October, and May under the influence of relatively strong climatological westward wind stress. Eastward pathways occurred in June, July, and August under the influence of weaker shoreward wind stress. Westward transport pathways past the Mississippi delta were found near the delta, whereas eastward transport pathways were found in deeper waters beyond the continental shelf break, away from typical juvenile settlement habitat. Water movement from east to west across the Apalachicola peninsula occurred in the fall, suggesting the potential for genetic exchange from the eastern to the western Gulf. Eastward water movement across the Apalachicola peninsula occurred in July, but only along the outer shelf.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=54471917&site=ehost-live
Red Snapper Reproductive Biology in the Southern Gulf of Mexico.,"Brul, Thierry; Colás-Marrufo, Teresa; Pérez-Díaz, Esperanza; Sámano-Zapata, Juan Carlos",Transactions of the American Fisheries Society,28487,,Jul-10,139,4,957,12,54468106,10.1577/T09-125.1,Taylor & Francis Ltd,Article,,,"Sex ratio, size at maturity, reproductive periodicity, ovarian development pattern, and spawning ground data for red snapper from the southern Gulf of Mexico were analyzed to understand this species' reproductive biology throughout its geographical distribution. Red snapper were sampled in 1999 and 2000 from commercial fishery catches taken on Campeche Bank at depths ranging from 43 to 130 m. Overall sex ratio (male : female) and sex ratios by size-class did not differ significantly from a 1:1 ratio. First maturity was at a slightly smaller size in males (24.2 cm total length [TL]) than in females (28.3 cm TL), and maximum length percentages at first maturity were 28% for males and 34% for females. The length at which maturity was attained in 50% of females ( L50) was 31.4 cm TL. The Campeche Bank red snapper stock had a protracted spawning period from February to November, with a spawning peak occurring in early fall. Vitellogenic oocytes were continually recruited from previtellogenic oocytes during the entire spawning season, with no gap between each oocyte development stage. This means that red snapper ovaries are asynchronous and that the species can be considered a heterochronal (batch) spawner with indeterminate annual fecundity. Females in spawning condition were collected from both the northeastern and northwestern areas of Campeche Bank, near submerged or emergent coral reef structures, and at depths between 48 and 117 m. These results generally agreed with those for red snapper stocks in others regions of the Gulf of Mexico and the Atlantic Ocean off the southeastern United States. However, reproductive periodicity in the Campeche Bank red snapper stock apparently displayed more of an insular pattern of extended spawning in comparison with the typical continental pattern of restricted spawning reported for other regions. The latitudinal differences observed in red snapper spawning seasons could also reflect a latitudinal gradient in the intensity of seasonal environmental constraints.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=54468106&site=ehost-live
Southerland's 'catch share' amendment OKed,"Mcdonald, Zack","News Herald, The (Panama City, FL)",,,12-May-12,,,,,2W61043366020,,,Article,,,,http://search.ebscohost.com/login.aspx?direct=true&db=nfh&AN=2W61043366020&site=ehost-live
