Title,Authors
"no loss of genetic diversity in the exploited and recently collapsed population of bay of biscay anchovy (engraulis encrasicolus, l.)","Montes, Iratxe;Iriondo, Mikel;Manzano, Carmen;Santos, Maria;Conklin, Darrell;Carvalho, Gary R;Irigoien, Xabier;Estonba, Andone"
patterns of coral-reef finfish species disappearances inferred from fishers' knowledge in global epicentre of marine shorefish diversity,"Lavides, Margarita N;Molina, Erina PaulineV;Jr, de laRosa;Mill, Aileen C;Rushton, Stephen P;Stead, Selina M;Polunin, Nicholas VC"
"a new species of leposphilus hesse, 1866 (copepoda: philichthyidae) parasitic in the interorbital canals of the whitemouth croaker micropogonias furnieri (desmarest) (sciaenidae) off brazil with an amended diagnosis of the genus","Paschoal, Fabiano;Nagasawa, Kazuya;Luque, José Luis"
on making statistical inferences regarding the relationship between spawners and recruits and the irresolute case of western atlantic bluefin tuna (thunnus thynnus),"Porch, Clay E;Lauretta, Matthew V"
"ontogenetic and spatial variability in trophic biomarkers of juvenile saffron cod (eleginus gracilis) from the beaufort, chukchi and bering seas","Copeman, Louise A;Laurel, Benjamin J;Boswell, Kevin M;Sremba, Angie L;Klinck, Karolin;Heintz, Ron A;Vollenweider, Johanna J;Helser, Thomas E;Spencer, Mara L"
tidal and diel patterns in abundance and feeding of a marine-estuarine-dependent fish from macrotidal mangrove creeks in the tropical eastern pacific (colombia),"Ramirez-martínez, Gustavo A;Castellanos-galindo, Gustavo A;Krumme, Uwe"
lack of spatial subdivision for the snapper lutjanus purpureus (lutjanidae - perciformes) from southwest atlantic based on multi-locus analyses,"Silva, Raimundo da;Sampaio, Iracilda;Schneider, Horacio;Gomes, Grazielle"
"review of the life history characteristics, ecology and fisheries for deep-water tropical demersal fish in the indo-pacific region","Newman, Stephen J;Williams, Ashley J;Wakefield, Corey B;Nicol, Simon J;Taylor, Brett M;O'malley, Joseph M"
stock assessment in inland fisheries: a foundation for sustainable use and conservation,"Lorenzen, K;Cowx, I G;Entsua-mensah, R E; M;Lester, N P;Koehn, J D;Randall, R G;So, N;Bonar, S A;Bunnell, D B;Venturelli, P;Bower, S D;Cooke, S J"
a designed artificial reef is among the most productive marine fish habitats: new metrics to address 'production versus attraction',"Smith, James A;Lowry, Michael B;Champion, Curtis;Suthers, Iain M"
hamacreadium cribbi n. sp. (digenea: opecoelidae) from lethrinus miniatus (forster) (perciformes: lethrinidae) from new caledonian waters,"Bray, Rodney A;Justine, Jean-lou"
a bank divided: quantifying a spatial and temporal connectivity break between the campeche bank and the northeastern gulf of mexico,"Johnston, Matthew W;Bernard, Andrea M"
seasonal and sex differences in energy reserves of red snapper lutjanus campechanus on natural and artificial reefs in the northwestern gulf of mexico,"Schwartzkopf, Brittany D;Cowan, James H, Jr"
"an updated review of ciguatera fish poisoning: clinical, epidemiological, environmental, and public health management","Friedman, Melissa A;Fernandez, Mercedes;Backer, Lorraine C;Dickey, Robert W;Bernstein, Jeffrey;Schrank, Kathleen;Kibler, Steven;Stephan, Wendy;Gribble, Matthew O;Bienfang, Paul;Bowen, Robert E;Degrasse, Stacey;Flores Quintana, Harold A;Loeffler, Christopher R;Weisman, Richard;Blythe, Donna;Berdalet, Elisa;Ayyar, Ram;Clarkson-Townsend, Danielle;Swajian, Karen;Benner, Ronald;Brewer, Tom;Fleming, Lora E"
forecasting lionfish sources and sinks in the atlantic: are gulf of mexico reef fisheries at risk?,"Johnston, Matthew W;Bernard, Andrea M;Shivji, Mahmood S"
timing and locations of reef fish spawning off the southeastern united states,"Farmer, Nicholas A;Heyman, William D;Karnauskas, Mandy;Kobara, Shinichi;Smart, Tracey I;Ballenger, Joseph C;Reichert, Marcel JM;Wyanski, David M;Tishler, Michelle S;Lindeman, Kenyon C;Lowerre-Barbieri, Susan K;Switzer, Theodore S;Solomon, Justin J;McCain, Kyle;Marhefka, Mark"
helminth parasites of finfish commercial aquaculture in latin america,"Soler-Jiménez, L C;Paredes-Trujillo, A I;Vidal-Martínez, V M"
temporal and spatial comparisons of the reproductive biology of northern gulf of mexico (usa) red snapper (lutjanus campechanus) collected a decade apart,"Kulaw, Dannielle H;Cowan, James H, Jr;Jackson, Melissa W"
catch shares slow the race to fish,"Birkenbach, Anna M;Kaczan, David J;Smith, Martin D"
improving the characterization of fish assemblage structure through the use of multiple sampling methods: a case study in a subtropical tidal flat ecosystem,"Contente, Riguel Feltrin;Del Bianco Rossi-wongtschowski, Carmen Lucia"
dynamic oceanography determines fine scale foraging behavior of masked boobies in the gulf of mexico,"Poli, Caroline L;Autumn-Lynn Harrison;Vallarino, Adriana;Gerard, Patrick D;Jodice, Patrick G R"
