X.1,X,YR,STATIONID,DEPTH_SSTA,MO_DAY_YR,STAT_ZONE,TOW_NO,DECSLAT,DECSLON,MESH_SIZE,MIN_FISH,BOT_TYPE,BOT_REG,ENVREC_STATIONID,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,CHLORSURF,CHLORMID,CHLORMAX,OXYSURF,OXYMID,OXYMAX,TURBSURF,TURBMID,TURBMAX,GENUS_BGS,SPEC_BGS,SumOfCNTEXP,rscpue,bathymetry,rugosity,date,month,day,optional,PLATFORM_COUNT,Sum_Length,carbonate.pcnt,gravel.prct,mud.prct,oyst.prct,rock.prct,sand.prct,optional.1,n.art.reef,art.reef.dis
19,19,1987,53340,25.6,6/15/1987 0:00,11,NA,29.31,-88.91,1.63,10,,,53340,27.48,27.29,23.94,29.03,32.87,34.6,NA,NA,NA,6.6,6.3,5.6,NA,NA,NA,,,NA,0,-29,1.875,6/15/1987,6,15,TRUE,0,78.72571352,48,0,97,NA,0,1,TRUE,0,0.997428762
20,20,1987,53342,34.7,6/15/1987 0:00,11,NA,29.3,-88.89,1.63,10,,,53342,27.48,27.29,23.94,NA,NA,NA,NA,NA,NA,6.6,6.3,5.6,NA,NA,NA,,,NA,0,-41,2.875,6/15/1987,6,15,TRUE,0,10.74103584,48,0,97,NA,0,1,TRUE,0,0.997428762
21,21,1987,53344,64,6/15/1987 0:00,11,NA,29.22,-88.8,1.63,60,,,53344,27.33,25.28,20.03,29.42,35.91,36.22,3.52,NA,NA,6.7,6.5,5.1,NA,NA,NA,,,NA,0,-66,1,6/15/1987,6,15,TRUE,0,4.927023072,48,0,95,NA,0,4,TRUE,0,0.997428762
22,22,1987,53348,23.8,6/15/1987 0:00,11,NA,29.26,-88.96,1.63,10,,,53348,27.41,26.77,23.72,21.89,32.2,34.75,3.63,NA,NA,6.6,5.9,5.3,NA,NA,NA,,,NA,0,-27,1.25,6/15/1987,6,15,TRUE,0,74.52381673,NA,0,98,NA,0,0,TRUE,0,0.997428762
23,23,1987,53350,82.3,6/15/1987 0:00,11,NA,29.25,-88.51,1.63,10,,,53350,27.4,20.46,18.49,32.31,36.04,36.33,0.36,NA,NA,6.3,6.2,4.9,NA,NA,NA,,,NA,0,-82,6.125,6/15/1987,6,15,TRUE,0,16.36321054,43.90000153,0,98,50,0,0,TRUE,0,0.997428762
24,24,1987,53352,73.2,6/16/1987 0:00,18,NA,28.01,-94.06,1.63,58,,,53352,27.73,20.91,19.25,34.69,36.3,36.33,0.05,NA,NA,6.2,6.8,6.7,NA,NA,NA,,,NA,0,-79,2.5,6/16/1987,6,16,TRUE,0,0.353072841,26,0,36,NA,0,63,TRUE,0,0.997428762
25,25,1987,53356,73.2,6/17/1987 0:00,18,NA,28.01,-94.25,1.63,36,,,53356,27.79,20.74,19.31,34.51,36.25,36.3,0.08,NA,NA,6.1,6.9,5.8,NA,NA,NA,,,NA,0,-76,1.625,6/17/1987,6,17,TRUE,0,1.892713534,99.80000305,4,24,NA,0,71,TRUE,0,0.997428762
26,26,1987,53358,36.6,6/17/1987 0:00,18,NA,28.51,-94.25,1.63,60,,,53358,28.09,24.3,20.3,31.49,34.73,36.23,0,NA,NA,6.3,6.2,6.5,NA,NA,NA,LUTJANU,CAMPEC,6,0.1,-38,0.375,6/17/1987,6,17,TRUE,0,0,NA,NA,NA,NA,NA,NA,TRUE,0,0.997428762
27,27,1987,53362,40.2,6/17/1987 0:00,18,NA,28.45,-94.21,1.63,54,,,53362,28,23.83,20.16,31.85,35.27,36.12,NA,NA,NA,6.3,6.3,6.4,NA,NA,NA,LUTJANU,CAMPEC,1,0.01,-42,0.625,6/17/1987,6,17,TRUE,0,0,18.20000076,NA,NA,NA,NA,NA,TRUE,0,0.997428762
28,28,1987,53364,40.2,6/17/1987 0:00,18,NA,28.45,-94.3,1.63,37,,,53364,28.12,26.67,20.39,32.25,34.85,36.21,0.07,NA,NA,5.8,5.9,5.8,NA,NA,NA,LUTJANU,CAMPEC,6,0.16,-38,1.75,6/17/1987,6,17,TRUE,0,0,0,NA,NA,NA,NA,NA,TRUE,0,0.997428762
29,29,1987,53368,34.7,6/17/1987 0:00,19,NA,28.43,-95.14,1.63,35,,,53368,29.34,27.11,20.38,27.88,33.16,35.34,0.13,NA,NA,6.3,6.4,6.2,NA,NA,NA,,,NA,0,-35,0.625,6/17/1987,6,17,TRUE,0,0,95.5,0,99,NA,0,0,TRUE,0,0.997428762
30,30,1987,53370,23.8,6/17/1987 0:00,19,NA,28.65,-95.25,1.63,28,,,53370,29.44,27.16,22.07,26.78,32.33,35.02,0.28,NA,NA,6.1,6.4,5.8,NA,NA,NA,,,NA,0,-24,0.25,6/17/1987,6,17,TRUE,0,0.439628084,5,0,67,NA,0,32,TRUE,0,0.997428762
31,31,1987,53376,14.6,6/18/1987 0:00,18,NA,29.16,-94.8,1.63,47,,,53376,27.87,27.14,27.02,29.63,29.55,31.78,0.52,NA,NA,6.4,6.4,5.2,NA,NA,NA,,,NA,0,-14,0.625,6/18/1987,6,18,TRUE,0,0,96.5,0,92,NA,0,6,TRUE,0,0.997428762
32,32,1987,53378,14.6,6/18/1987 0:00,18,NA,29.22,-94.57,1.63,24,,,53378,28.02,27.71,27.1,30.84,30.85,31.45,0.49,NA,NA,6.6,6.5,5.2,NA,NA,NA,,,NA,0,-15,0,6/18/1987,6,18,TRUE,0,0,39.09999847,0,90,NA,0,9,TRUE,0,0.997428762
33,33,1987,53380,12.8,6/18/1987 0:00,18,NA,29.45,-94.37,1.63,16,,,53380,27.78,27.78,27.29,28.98,29.03,30.6,3.51,NA,NA,6.6,6.6,5.1,NA,NA,NA,,,NA,0,-12,0.375,6/18/1987,6,18,TRUE,0,0,100,8,66,NA,0,25,TRUE,0,0.997428762
34,34,1987,53383,9.1,6/18/1987 0:00,18,NA,29.55,-94.22,1.63,11,,,53383,27.9,27.42,27.14,28.81,28.95,29.49,3.2,NA,NA,6.5,6.1,4.8,NA,NA,NA,,,NA,0,-9,0.5,6/18/1987,6,18,TRUE,0,0,100,8,72,NA,0,18,TRUE,0,0.997428762
35,35,1987,53385,27.4,6/18/1987 0:00,18,NA,28.7,-94.01,1.63,35,,,53385,28.14,26,21.95,29.54,33.17,35.12,0.33,NA,NA,6.4,6.6,6.4,NA,NA,NA,LUTJANU,CAMPEC,2,0.05,-28,0.5,6/18/1987,6,18,TRUE,0,0,0.200000003,0,100,NA,0,0,TRUE,0,0.997428762
36,36,1987,53387,25.6,6/18/1987 0:00,18,NA,28.75,-94,1.63,49,,,53387,27.98,27.94,23.86,29.53,29.42,34.22,0.36,NA,NA,6.4,6.6,6.1,NA,NA,NA,LUTJANU,CAMPEC,7,0.14,-26,0.375,6/18/1987,6,18,TRUE,0,0,0,0,100,NA,0,0,TRUE,0,0.997428762
37,37,1987,53390,16.5,6/19/1987 0:00,18,NA,29.04,-94.45,1.63,13,,,53390,28.54,27.64,25.92,NA,NA,NA,NA,NA,NA,7,6.8,5.4,NA,NA,NA,LUTJANU,CAMPEC,3,0.23,-17,0,6/19/1987,6,19,TRUE,0,0.108370027,97.59999847,3,61,NA,0,35,TRUE,0,0.997428762
38,38,1987,53392,18.3,6/19/1987 0:00,18,NA,28.91,-94.66,1.63,10,,,53392,28.22,27.49,23.38,28.08,28.01,33.67,0.31,NA,NA,6.9,6.7,5.8,NA,NA,NA,LUTJANU,CAMPEC,12,1.2,-20,0.75,6/19/1987,6,19,TRUE,0,1.190215659,100,6,72,NA,0,21,TRUE,0,0.997428762
39,39,1987,53394,40.2,6/20/1987 0:00,19,NA,28.3,-95.02,1.63,53,,,53394,28.97,26.84,19.72,29.78,32.7,35.79,0.14,NA,NA,7,8.8,6.5,NA,NA,NA,LUTJANU,CAMPEC,3,0.05,-44,0.5,6/20/1987,6,20,TRUE,0,0,93.5,3,74,NA,0,21,TRUE,0,0.997428762
40,40,1987,53396,54.9,6/20/1987 0:00,19,NA,28.1,-95.02,1.63,49,,,53396,28.69,25.89,20.04,30.66,33.19,36.04,NA,NA,NA,7,6.6,7.1,NA,NA,NA,,,NA,0,-58,1,6/20/1987,6,20,TRUE,0,0,99.90000153,5,75,NA,0,19,TRUE,0,0.997428762
41,41,1987,53400,54.9,6/21/1987 0:00,18,NA,28.08,-94.77,1.63,30,,,53400,28.59,25,19.5,29.8,34.42,35.96,NA,NA,NA,6.7,6.7,6.2,NA,NA,NA,,,NA,0,-60,2.125,6/21/1987,6,21,TRUE,0,0,89.69999695,1,70,NA,0,28,TRUE,0,0.997428762
42,42,1987,53402,64,6/21/1987 0:00,18,NA,28.05,-94.82,1.63,28,,,53402,28.31,24.11,19.56,30.58,33.83,36.09,0.17,NA,NA,6.5,6.6,6.3,NA,NA,NA,,,NA,0,-70,2,6/21/1987,6,21,TRUE,0,0,98.19999695,1,71,NA,0,27,TRUE,0,0.997428762
43,43,1987,53408,82.3,6/21/1987 0:00,20,NA,27.71,-95.84,1.63,10,,,53408,28.81,23.7,21.37,31.32,36.59,36.45,0.09,NA,NA,6.3,6.6,6.1,NA,NA,NA,,,NA,0,-87,4.875,6/21/1987,6,21,TRUE,0,0,0,NA,NA,NA,NA,NA,TRUE,0,0.997428762
44,44,1987,53410,91.4,6/21/1987 0:00,20,NA,27.69,-95.89,1.63,31,,,53410,28.81,23.7,21.37,31.33,36.59,36.45,0.09,NA,NA,6.3,6.6,6.1,NA,NA,NA,,,NA,0,-107,4.625,6/21/1987,6,21,TRUE,0,0,19.60000038,0,91,NA,0,7,TRUE,0,0.997428762
45,45,1987,53413,45.7,6/22/1987 0:00,19,NA,28.03,-95.72,1.63,60,,,53413,27.97,26.81,21,32.8,33.54,36.31,0.13,NA,NA,6.6,6.6,6.3,NA,NA,NA,LUTJANU,CAMPEC,9,0.15,-48,1.125,6/22/1987,6,22,TRUE,0,0,0,NA,NA,NA,NA,NA,TRUE,0,0.997428762
46,46,1987,53419,54.9,6/22/1987 0:00,19,NA,28.05,-95.31,1.63,60,,,53419,28.62,26.43,21.66,30.43,35.54,36.38,NA,NA,NA,6.5,6.5,6.4,NA,NA,NA,LUTJANU,CAMPEC,2,0.03,-57,0.5,6/22/1987,6,22,TRUE,0,0,99.80000305,22,16,NA,0,60,TRUE,0,0.997428762
47,47,1987,53422,36.6,6/22/1987 0:00,19,NA,28.28,-95.37,1.63,13,,,53422,28.76,27.32,20.22,NA,NA,NA,0.09,NA,NA,6.4,6.3,5.7,NA,NA,NA,LUTJANU,CAMPEC,2,0.15,-38,0.375,6/22/1987,6,22,TRUE,0,0,95.09999847,6,84,NA,0,8,TRUE,0,0.997428762
48,48,1987,53424,25.6,6/22/1987 0:00,19,NA,28.35,-95.68,1.63,60,,,53424,28.11,27.4,21.5,NA,NA,NA,0.11,NA,NA,7.1,6.8,5.8,NA,NA,NA,LUTJANU,CAMPEC,1,0.01,-27,0.5,6/22/1987,6,22,TRUE,0,0,0,0,69,NA,0,30,TRUE,0,0.997428762
49,49,1987,53428,20.1,6/22/1987 0:00,19,NA,28.58,-95.48,1.63,15,,,53428,28.96,27.49,20.92,31.11,31.31,34.72,0.11,NA,NA,6.1,6.2,6.3,NA,NA,NA,LUTJANU,CAMPEC,1,0.06,-21,1.125,6/22/1987,6,22,TRUE,0,0,43.59999847,0,98,NA,0,1,TRUE,0,0.997428762
50,50,1987,53431,11,6/22/1987 0:00,19,NA,28.66,-95.71,1.63,13,,,53431,28.21,28.21,25.05,31.47,31.3,33.16,0.3,NA,NA,6.1,6.1,4.7,NA,NA,NA,,,NA,0,-12,0.5,6/22/1987,6,22,TRUE,0,0,NA,1,67,NA,0,30,TRUE,0,0.997428762
51,51,1987,53433,9.1,6/22/1987 0:00,19,NA,28.61,-95.85,1.63,11,,,53433,28.33,28.12,25.7,32.1,31.89,32.56,0.29,NA,NA,6.1,6.2,4.6,NA,NA,NA,LUTJANU,CAMPEC,3,0.27,-10,0.875,6/22/1987,6,22,TRUE,0,0,NA,0,47,NA,0,51,TRUE,0,0.997428762
52,52,1987,53435,12.8,6/23/1987 0:00,19,NA,28.54,-95.93,1.63,12,,,53435,27.81,27.69,24.46,32.78,32.57,34.31,0.8,NA,NA,7.1,7,6.7,NA,NA,NA,,,NA,0,-13,0.625,6/23/1987,6,23,TRUE,0,0,NA,0,72,NA,0,26,TRUE,0,0.997428762
53,53,1987,53437,20.1,6/23/1987 0:00,19,NA,28.47,-95.77,1.63,11,,,53437,27.94,26.83,22.15,32.08,31.98,35.4,0.13,NA,NA,5.4,6.2,6.1,NA,NA,NA,,,NA,0,-20,0.5,6/23/1987,6,23,TRUE,0,8.157731482,0,0,73,NA,0,25,TRUE,0,0.997428762
54,54,1987,53439,34.7,6/23/1987 0:00,19,NA,28.27,-95.51,1.63,29,,,53439,28.39,27.82,20.56,32.1,31.74,32.16,0.1,NA,NA,6.7,6.6,6.8,NA,NA,NA,,,NA,0,-35,0.375,6/23/1987,6,23,TRUE,0,3.852476954,54,22,77,NA,0,0,TRUE,0,0.997428762
55,55,1987,53443,16.5,6/23/1987 0:00,19,NA,28.47,-95.94,1.63,14,,,53443,28.27,27.89,24.3,32.51,32.5,34.72,0.11,NA,NA,6.6,6.6,5.2,NA,NA,NA,LUTJANU,CAMPEC,16,1.14,-17,0.5,6/23/1987,6,23,TRUE,0,0,NA,0,64,NA,0,34,TRUE,0,0.997428762
56,56,1987,53446,31.1,6/23/1987 0:00,19,NA,28.17,-95.91,1.63,18,,,53446,28.37,27.35,21.68,NA,NA,NA,0.11,NA,NA,6.7,6.8,7,NA,NA,NA,,,NA,0,-32,0.5,6/23/1987,6,23,TRUE,0,0,0,NA,NA,NA,NA,NA,TRUE,0,0.997428762
57,57,1987,53448,29.3,6/23/1987 0:00,19,NA,28.16,-96.05,1.63,26,,,53448,28.3,27.59,21.87,33.53,33.8,36.35,NA,NA,NA,6.5,6.6,6.4,NA,NA,NA,,,NA,0,-29,0.75,6/23/1987,6,23,TRUE,0,0,0,0,16,NA,0,82,TRUE,0,0.997428762
58,58,1987,53450,27.4,6/23/1987 0:00,19,NA,28.1,-96.23,1.63,12,,,53450,28.62,26.99,22.48,34.71,NA,36.26,0.1,NA,NA,6.6,6.7,6.9,NA,NA,NA,,,NA,0,-29,0.625,6/23/1987,6,23,TRUE,1,0.348419874,NA,0,74,NA,0,25,TRUE,0,0.997428762
59,59,1987,53452,31.1,6/23/1987 0:00,19,NA,28.04,-96.24,1.63,18,,,53452,28.05,26.2,22.48,NA,NA,36.31,0.11,NA,NA,6.7,6.6,7.1,NA,NA,NA,,,NA,0,-34,0.625,6/23/1987,6,23,TRUE,0,24.76396848,0,0,81,NA,0,18,TRUE,0,0.997428762
60,60,1987,53454,32.9,6/23/1987 0:00,19,NA,28.02,-96.27,1.63,18,,,53454,28.36,27.63,21.87,35.14,NA,36.4,0.07,NA,NA,6.6,6.6,6.9,NA,NA,NA,,,NA,0,-35,0.625,6/23/1987,6,23,TRUE,0,0.351618108,0,0,81,NA,0,18,TRUE,0,0.997428762
61,61,1987,53456,31.1,6/23/1987 0:00,19,NA,28.04,-96.3,1.63,16,,,53456,28.26,27.35,21.98,35.15,NA,36.29,0.09,NA,NA,6.5,6.5,7.1,NA,NA,NA,,,NA,0,-32,0.625,6/23/1987,6,23,TRUE,0,0,0,0,81,NA,0,18,TRUE,0,0.997428762
62,62,1987,53458,23.8,6/24/1987 0:00,19,NA,28.01,-96.55,1.63,17,,,53458,27.64,26.92,22.87,34.99,34.99,36.48,0.18,NA,NA,6.6,6.7,6.5,NA,NA,NA,,,NA,0,-24,0.375,6/24/1987,6,24,TRUE,0,0,0,0,58,NA,0,40,TRUE,0,0.997428762
63,63,1987,53461,12.8,6/24/1987 0:00,19,NA,28.26,-96.45,1.63,10,,,53461,29.89,28.39,24.6,25.12,NA,34.38,2.42,NA,NA,6.9,7,3.8,NA,NA,NA,,,NA,0,-12,1.125,6/24/1987,6,24,TRUE,0,0,NA,0,40,NA,0,58,TRUE,0,0.997428762
64,64,1987,53463,23.8,6/24/1987 0:00,19,NA,28.16,-96.32,1.63,35,,,53463,27.88,27.3,23.67,34.5,NA,36.22,0.14,NA,NA,6.7,6.7,6.9,NA,NA,NA,,,NA,0,-25,0.5,6/24/1987,6,24,TRUE,0,0,NA,0,78,NA,0,21,TRUE,0,0.997428762
65,65,1987,53465,27.4,6/24/1987 0:00,19,NA,28.03,-96.4,1.63,18,,,53465,27.4,27.4,22.46,35.57,NA,36.44,0.12,NA,NA,6.6,6.8,7.1,NA,NA,NA,,,NA,0,-28,0.375,6/24/1987,6,24,TRUE,0,0,0,0,78,NA,30,20,TRUE,0,0.997428762
66,66,1987,53467,21.9,6/24/1987 0:00,20,NA,27.86,-96.78,1.63,24,S ,,53467,27.63,25.98,23.01,35.42,35.42,36.28,NA,NA,NA,6.6,6.7,7,NA,NA,NA,LUTJANU,CAMPEC,7,0.29,-22,0.5,6/24/1987,6,24,TRUE,0,0,NA,4,92,NA,0,3,TRUE,0,0.997428762
67,67,1987,53469,36.6,6/24/1987 0:00,20,NA,27.69,-96.69,1.63,46,,,53469,28.38,27.27,21.39,34.77,35.01,36.33,0.05,NA,NA,6.3,6.6,6.6,NA,NA,NA,LUTJANU,CAMPEC,3,0.06,-38,0.875,6/24/1987,6,24,TRUE,0,0,0,0,93,NA,0,6,TRUE,0,0.997428762
68,68,1987,53471,34.7,6/24/1987 0:00,20,NA,27.58,-96.8,1.63,19,,,53471,28.93,25.11,22.06,34.76,NA,36.45,0.13,NA,NA,6.5,6.7,6.7,NA,NA,NA,,,NA,0,-38,0.5,6/24/1987,6,24,TRUE,0,0.418837559,0,0,89,NA,0,10,TRUE,0,0.997428762
69,69,1987,53473,54.9,6/24/1987 0:00,20,NA,27.54,-96.62,1.63,60,,,53473,29.01,26.25,20.64,34.04,NA,36.41,0.1,NA,NA,6.6,6.8,6.4,NA,NA,NA,,,NA,0,-58,0.875,6/24/1987,6,24,TRUE,0,0,98.90000153,0,86,NA,0,12,TRUE,0,0.997428762
70,70,1987,53477,73.2,6/25/1987 0:00,20,NA,27.33,-96.61,1.63,55,,,53477,28.68,23.5,20.71,34.43,36.49,36.41,0.06,NA,NA,6.7,6.3,6.2,NA,NA,NA,LUTJANU,CAMPEC,1,0.01,-77,3.25,6/25/1987,6,25,TRUE,0,0,99,0,90,NA,0,9,TRUE,0,0.997428762
71,71,1987,53479,82.3,6/25/1987 0:00,20,NA,27.25,-96.58,1.63,55,,,53479,28.79,23.25,20.42,34.06,36.47,36.68,0.04,NA,NA,6.2,6.3,5.8,NA,NA,NA,,,NA,0,-82,5.75,6/25/1987,6,25,TRUE,0,0,94.5,0,90,NA,0,9,TRUE,0,0.997428762
72,72,1987,53481,91.4,6/25/1987 0:00,20,NA,27.21,-96.54,1.63,50,,,53481,28.65,23.42,20.27,34.2,NA,36.42,0.08,NA,NA,6.5,7.2,5.8,NA,NA,NA,,,NA,0,-99,1.5,6/25/1987,6,25,TRUE,0,0,86.5,0,96,NA,0,3,TRUE,0,0.997428762
73,73,1987,53486,82.3,6/25/1987 0:00,20,NA,27.4,-96.52,1.63,41,,,53486,28.62,23.8,20.5,34.2,NA,NA,0.06,NA,NA,6.5,7,5.7,NA,NA,NA,LUTJANU,CAMPEC,5,0.12,-85,1.75,6/25/1987,6,25,TRUE,0,0,97.90000153,0,98,NA,0,1,TRUE,0,0.997428762
74,74,1987,53488,16.5,6/25/1987 0:00,20,NA,27.59,-97.11,1.63,16,,,53488,28.07,26.15,24.7,34.14,35.28,36.29,0.05,NA,NA,6.2,6.4,6.8,NA,NA,NA,,,NA,0,-17,0.625,6/25/1987,6,25,TRUE,0,0,NA,0,72,NA,0,26,TRUE,0,0.997428762
75,75,1987,53490,23.8,6/25/1987 0:00,20,NA,27.69,-96.9,1.63,23,,,53490,29.16,26.24,22.99,31.4,35.59,36.36,0.93,NA,NA,6.7,6.8,6.5,NA,NA,NA,,,NA,0,-25,0.5,6/25/1987,6,25,TRUE,0,2.396481703,96.80000305,16,82,NA,0,0,TRUE,0,0.997428762
76,76,1987,53492,14.6,6/25/1987 0:00,20,NA,27.86,-96.92,1.63,15,,,53492,29.43,27.32,25.34,32.85,35.04,36.12,0.36,NA,NA,6.7,7,6.8,NA,NA,NA,,,NA,0,-15,0.75,6/25/1987,6,25,TRUE,0,0,100,0,55,NA,0,43,TRUE,0,0.997428762
77,77,1987,53494,34.7,6/25/1987 0:00,20,NA,27.53,-96.82,1.63,12,,,53494,28.3,26.75,21.85,NA,NA,36.43,0.11,NA,NA,6.7,6.8,6.9,NA,NA,NA,,,NA,0,-38,0.625,6/25/1987,6,25,TRUE,0,0,0,0,85,NA,0,13,TRUE,0,0.997428762
