Paper_ID,StudyType,Age_class,Start_time,End_time,Season,Driver,Response_type,EffectSize_d,Sampling_method,Location,Effect_type_original,Value_original,stuff for effect size conv
20,Artificial Reef,Post-recruit,1995,1996,all,depth,Abundance,2.98,visual surveys,28 850.019N and 90 822.409 W,F,11.13,
20,Artificial Reef,Post-recruit,1995,1996,all,DO,Abundance,0.2,visual surveys,28 850.019N and 90 822.409 W,F,0.02,
20,Artificial Reef,Post-recruit,1995,1996,all,depth,Abundance,3.939,hydroacoustics,28 850.019N and 90 822.409 W,F,19.39,
20,Artificial Reef,Post-recruit,1995,1996,all,DO,Abundance,2.3,hydroacoustics,28 850.019N and 90 822.409 W,F,2.65,
21,Trawling Effect,Juvenile,2004,2005,,habitat type,Density,0.192,trawl surveys,"30deg N, 88 deg W",F,6.56,
21,Trawling Effect,Juvenile,2004,2005,,trawling,Density,0.192,trawl surveys,"30deg N, 88 deg W",F,6.53,
21,Trawling Effect,Age 1,2004,2005,,habitat type,Density,0.145,trawl surveys,"30deg N, 88 deg W",F,3.71,
21,Trawling Effect,Age 0.5+,2004,2005,,trawling,Density,0.193,trawl surveys,"30deg N, 88 deg W",F,6.63,
38,Trawling Effect,juvenile,1972,1984,,trawling,Bycatch Density,0.451,SEAMAP groundfish trawl,Northern GOM continental shelf,r,0.22,n = 446
38,Trawling Effect,juvenile,1985,1996,,trawling,Bycatch Density,0.7965,SEAMAP groundfish trawl,Northern GOM continental shelf,r,0.37,n = 625
38,Trawling Effect,juvenile,1972,1984,,trawling,Bycatch Density,0.4511,SEAMAP groundfish trawl,Northern GOM continental shelf,r,0.22,n = 350
38,Trawling Effect,juvenile,1985,1996,,trawling,Bycatch Density,0.8216,SEAMAP groundfish trawl,Northern GOM continental shelf,r,0.38,n = 559
56,Artificial Reef,juvenile,2007,2008,,artificial reef design,CPUE,0.242,traps,"40 km south of Pascagoula, MS",F,1,
56,Artificial Reef,juvenile,2007,2008,,season,CPUE,0.619,traps,"40 km south of Pascagoula, MS",F,6.56,
59,Artificial Reef,All classes,2011,2013,,artificial reef design,Density,0.403,"hook&line, traps, visual surveys","20–50 km south of Mobile Bay, AL",x^2,1.95,n=50
59,Artificial Reef,All classes,2011,2013,,depth,Density,0.3302,"hook&line, traps, visual surveys","20–50 km south of Mobile Bay, AL",x^2,1.35,n=50
59,Artificial Reef,Pre-recruit,2011,2013,,depth,Density,-0.408,"hook&line, traps, visual surveys","20–50 km south of Mobile Bay, AL",r,-0.2,n=50
77,Artificial Reef,Adult,2005,2007,,recreational fishing,Density,0.98,mark-recapture,Northern Gulf shelf: LA to FL,d,0.98,
83,Trawling Effect,juvenile,2001,2003,,trawling,CPUE,0.7,SEAMAP groundfish trawl,U.S. GOM continental shelf,r,0.33,
83,Trawling Effect,juvenile,2011,2011,,trawling,CPUE,0.08,SEAMAP groundfish trawl,U.S. GOM continental shelf,r,0.04,
85,Multiple drivers,Age 0,2010,2011,,intraspecific competition,Density,-0.772,visual surveys,outside of Mobile Bay,r,-0.36,n=60
86,Multiple drivers,Age 1,1988,2009,Summer,depth,CPUE,0.204,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,48.6,
86,Multiple drivers,Age 1,1988,2009,Summer,temperature,CPUE,0.055,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,3.6,
86,Multiple drivers,Age 1,1988,2009,Summer,salinity,CPUE,0.139,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,22.7,
86,Multiple drivers,Age 1,1988,2009,Summer,distance from river,CPUE,0.191,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,42.6,
86,Multiple drivers,Age 1,1988,2009,Summer,DO,CPUE,0.124,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,18,
86,Multiple drivers,Age 1,1988,2009,Summer,trawling,CPUE,0.355,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,147.5,
86,Multiple drivers,Age 1,1988,2009,Summer,DO,CPUE,0.099,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,11.4,
86,Multiple drivers,Age 0,1988,2009,Fall,depth,CPUE,0.35,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,142.9,
86,Multiple drivers,Age 0,1988,2009,Fall,temperature,CPUE,0.438,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,223.9,
86,Multiple drivers,Age 0,1988,2009,Fall,salinity,CPUE,0.424,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,201.2,
86,Multiple drivers,Age 0,1988,2009,Fall,distance from river,CPUE,0.293,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,100,
86,Multiple drivers,Age 0,1988,2009,Fall,DO,CPUE,0.065,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,4.9,
86,Multiple drivers,Age 0,1988,2009,Fall,trawling,CPUE,0.316,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,117,
86,Multiple drivers,Age 0,1988,2009,Fall,DO,CPUE,0.116,SEAMAP groundfish trawl,Northern gulf shelf: TX to MS,F,15.7,
